MSOAcode,Population,Population70AndOver
E02003875,6184,1258
E02003842,5364,1267
E02003843,5934,934
E02003844,6564,1381
E02003845,9089,850
E02003846,6892,785
E02003847,9520,1400
E02003848,5044,670
E02003849,7367,747
E02003876,5414,801
E02003850,5063,813
E02003851,5590,936
E02003877,9244,1817
E02003852,6470,1108
E02003878,8721,1459
E02003879,8331,826
E02003880,6318,1044
E02003881,5924,604
E02003882,9276,1121
E02003794,8729,1327
E02003883,10378,1520
E02003884,8403,1741
E02003795,5768,1107
E02003885,5920,995
E02003796,7255,1396
E02003797,10183,1607
E02003798,6091,698
E02003800,6832,1381
E02003799,7089,926
E02003801,6856,1075
E02003802,8759,1066
E02003803,9894,896
E02003886,6580,702
E02003804,6590,861
E02003887,6435,786
E02003888,6382,810
E02003805,6268,1224
E02003889,5677,748
E02003806,7509,1104
E02003890,6308,804
E02003807,7978,1714
E02003808,6484,603
E02003891,5982,1247
E02003809,7818,1491
E02003810,8859,1688
E06000006,128432,15718
E02002574,8440,1205
E02002575,9750,982
E02002576,7255,1046
E02002577,7633,1002
E02002578,8280,995
E02002579,7823,910
E02002580,7880,749
E02002581,7277,1236
E02002582,8591,845
E02002583,7462,820
E02002584,7411,992
E02002585,10572,1152
E02002586,10095,1077
E02002587,6580,618
E02002588,7214,902
E02002589,6169,1187
E06000007,209547,28125
E02002590,7273,1192
E02002591,6390,1189
E02002592,6425,1270
E02002593,5034,757
E02002594,5249,502
E02002595,8364,665
E02002596,8058,1296
E02002597,9313,881
E02002598,9875,535
E02002599,11142,1078
E02002600,8883,1057
E02002601,8813,1412
E02002602,8181,496
E02002603,6904,1182
E02002604,7327,1390
E02002605,9179,1063
E02002606,11784,993
E02002607,11603,1432
E02002608,8234,1942
E02002609,9572,811
E02002610,12682,2004
E02002611,7825,1353
E02002612,9174,1541
E02002613,6505,963
E02002614,5758,1121
E07000026,97527,16975
E02003965,11102,2149
E02003966,6984,1402
E02003967,8423,1415
E02003968,9164,1654
E02003969,6640,921
E02003970,8071,1369
E02003971,7846,1546
E02003972,9092,1473
E02003973,8645,1030
E02003974,7774,1300
E02003975,7091,1226
E02003976,6695,1490
E07000027,67137,10444
E02003977,6279,910
E02003978,5633,967
E02003979,7413,1840
E02003980,6518,766
E02003981,6558,907
E02003982,7593,1213
E02003983,7551,901
E02003984,6531,781
E02003985,6787,1163
E02003986,6274,996
E07000028,108387,16733
E02003987,5999,1054
E02003988,6661,1258
E02003989,7131,1320
E02003990,10323,1796
E02003991,7503,1366
E02003992,8231,992
E02003993,8675,1702
E02003994,7248,1132
E02003995,9780,1340
E02003996,9630,899
E02003997,9567,1056
E02003998,6908,933
E02003999,10731,1885
E07000029,68424,10872
E02004000,5150,844
E02004001,5372,890
E02004002,9941,1513
E02004003,11688,1732
E02004004,9898,1189
E02004005,7771,1218
E02004006,8701,1691
E02004007,9903,1795
E07000030,52881,10062
E02004008,6279,1103
E02004009,6197,1070
E02004010,7423,1139
E02004011,9969,2111
E02004012,5494,1117
E02004013,9838,1946
E02004014,7681,1576
E07000031,104532,21571
E02004015,6374,1431
E02004016,8314,1594
E02004017,8799,1401
E02004018,8490,1137
E02004019,7896,1620
E02004020,8700,1674
E02004021,5256,1192
E02004022,5451,1130
E02004023,6197,1360
E02004024,7240,1663
E02004025,8019,1947
E02004026,8067,1335
E02004027,8056,2381
E02004028,7673,1706
E08000001,285372,35038
E02000984,7571,1104
E02000985,7332,1521
E02000986,8565,1291
E02000987,7111,1108
E02000988,8770,930
E02000989,8168,1840
E02000990,7892,1017
E02000991,7591,1007
E02000992,5903,1063
E02000993,8025,603
E02000994,8373,677
E02000995,8136,1175
E02000996,8455,826
E02000997,6070,954
E02000998,9328,734
E02000999,7945,751
E02001000,9264,1214
E02001001,8728,813
E02001002,9585,1182
E02001003,7346,1395
E02001004,8658,602
E02001005,8684,640
E02001006,8244,589
E02001007,9956,1718
E02001008,8756,644
E02001009,7318,915
E02001010,6073,401
E02001011,9735,1358
E02001012,8297,765
E02001013,6160,1085
E02001014,8027,1074
E02001015,8330,1210
E02001016,8476,751
E02001017,10943,1330
E02001018,7557,751
E08000002,190108,24843
E02001019,8962,1111
E02001020,5794,1344
E02001021,7575,1181
E02001022,7854,1336
E02001023,5643,844
E02001024,8231,1146
E02001025,7871,840
E02001026,10535,734
E02001027,7493,728
E02001028,7243,1736
E02001029,7543,674
E02001030,5810,779
E02001031,6568,806
E02001032,7703,1153
E02001033,5953,535
E02001034,8368,867
E02001035,6972,1322
E02001036,7658,744
E02001037,6980,1296
E02001038,5731,785
E02001039,8476,838
E02001040,6081,866
E02001041,7766,891
E02001042,6347,861
E02001043,5524,731
E02001044,9427,695
E08000003,547627,35132
E02001045,8269,928
E02001046,10377,851
E02001047,10002,955
E02001048,8841,795
E02001049,9764,1145
E02001050,8397,598
E02001051,8995,804
E02001052,14132,889
E02001053,11093,725
E02001055,9189,865
E02001056,8319,692
E02001057,11195,542
E02001059,11941,664
E02001061,9775,798
E02001062,10612,422
E02001063,14036,252
E02001064,10088,649
E02001065,9446,697
E02001066,13203,437
E02001067,11080,612
E02001068,10552,617
E02001069,12606,469
E02001070,12790,503
E02001071,14487,688
E02001072,9069,442
E02001073,9574,727
E02001074,11944,820
E02001075,8742,385
E02001076,12276,298
E02001077,7351,561
E02001078,10567,999
E02001079,9036,583
E02001080,9757,527
E02001081,6351,508
E02001082,6670,374
E02001083,8028,324
E02001084,8513,588
E02001085,8382,628
E02001086,6558,588
E02001087,9382,952
E02001088,9149,816
E02001089,7737,827
E02001090,6571,860
E02001091,8018,1013
E02001092,8435,744
E02001093,9353,832
E02001094,9558,622
E02001095,8262,741
E02001096,7560,781
E02001097,8058,658
E02006902,7344,151
E02006912,15865,270
E02006913,7417,276
E02006914,10010,92
E02006915,9458,320
E02006916,6317,159
E02006917,7126,69
E08000004,235623,27044
E02001098,5885,1233
E02001099,5876,826
E02001100,5961,1151
E02001101,5536,969
E02001102,6053,727
E02001103,5488,1018
E02001104,7084,619
E02001105,6023,1120
E02001106,5823,976
E02001107,6450,777
E02001108,5779,485
E02001109,7690,839
E02001110,6433,1149
E02001111,7518,635
E02001112,5701,799
E02001113,9621,431
E02001114,8908,1127
E02001115,5863,810
E02001116,7460,443
E02001117,6183,1053
E02001118,6016,1017
E02001119,11860,623
E02001121,8603,388
E02001123,6834,647
E02001124,6381,639
E02001125,8168,972
E02001126,8893,620
E02001127,7593,660
E02001128,7762,976
E02001129,6130,727
E02001130,5408,846
E02001131,5261,924
E02006860,15379,818
E08000005,220001,25152
E02001132,6438,894
E02001133,6454,862
E02001134,6296,1039
E02001135,8088,750
E02001136,9198,1225
E02001137,6093,790
E02001138,8615,1528
E02001139,9991,569
E02001140,8223,821
E02001141,12602,854
E02001142,5812,1153
E02001143,11527,828
E02001144,6387,771
E02001145,7137,1018
E02001146,9847,655
E02001147,9795,890
E02001148,10557,1420
E02001149,10294,1179
E02001150,8911,989
E02001151,10117,1299
E02001152,9267,1016
E02001153,11194,1068
E02001154,10135,986
E02001155,7365,957
E02001156,9658,1591
E08000006,254408,26077
E02001157,8261,811
E02001158,6203,694
E02001159,6733,615
E02001160,6969,689
E02001161,5870,803
E02001162,6080,978
E02001163,9209,1486
E02001164,7490,507
E02001165,6058,748
E02001166,7259,766
E02001167,7124,716
E02001168,9608,1141
E02001169,10361,1411
E02001170,9676,1683
E02001171,5925,863
E02001172,15307,1013
E02001173,7806,585
E02001174,5603,712
E02001175,7272,711
E02001176,11415,1552
E02001177,12867,1361
E02001178,14166,344
E02001179,6597,608
E02001180,6590,445
E02001181,6115,552
E02001182,6363,571
E02001183,6694,550
E02001184,14299,574
E02001185,10028,1402
E02001186,10460,1186
E08000007,291775,42529
E02001187,7027,857
E02001188,8468,686
E02001189,8331,1041
E02001190,7309,629
E02001191,5704,1016
E02001192,6879,955
E02001193,6321,666
E02001194,6300,841
E02001195,7280,1056
E02001196,7727,1495
E02001197,6364,720
E02001198,7539,1407
E02001199,8000,975
E02001200,7216,683
E02001201,5752,651
E02001202,6268,494
E02001203,5954,1194
E02001204,9248,887
E02001205,8025,792
E02001206,7277,1344
E02001207,6928,1015
E02001208,7542,852
E02001209,7930,777
E02001210,7300,1049
E02001211,6308,1007
E02001212,7000,558
E02001213,9960,1228
E02001214,7538,1337
E02001215,5942,1238
E02001216,7448,1246
E02001217,6933,1105
E02001218,6043,996
E02001219,5414,1049
E02001220,5702,840
E02001221,5931,1133
E02001222,6431,1174
E02001223,6750,1297
E02001224,5820,1544
E02001225,7394,1271
E02001226,7148,953
E02001227,5857,1302
E02001228,5467,1169
E08000008,225197,28165
E02001229,10060,1136
E02001230,5943,1035
E02001231,7235,712
E02001232,8378,965
E02001233,7917,1065
E02001234,7824,845
E02001235,7005,755
E02001236,5963,687
E02001237,7141,712
E02001238,7810,1114
E02001239,9327,1045
E02001240,6054,780
E02001241,10644,663
E02001242,6604,869
E02001243,7893,1206
E02001244,5438,893
E02001245,8176,833
E02001246,7361,1047
E02001247,6926,835
E02001248,11149,928
E02001249,6337,792
E02001250,6601,967
E02001251,5945,971
E02001252,7313,1291
E02001253,4963,727
E02001254,5699,828
E02001255,6699,687
E02001256,10589,1034
E02001257,8952,1490
E02001258,7251,1253
E08000009,236370,29843
E02001259,10934,635
E02001260,7650,1091
E02001261,8528,581
E02001262,8632,817
E02001263,8324,1380
E02001264,8502,813
E02001265,8099,1081
E02001266,6980,837
E02001267,7601,1137
E02001268,7036,1219
E02001269,8403,905
E02001270,8508,965
E02001271,6550,827
E02001272,8236,1147
E02001273,10172,1215
E02001274,8003,1582
E02001275,8637,864
E02001276,8146,952
E02001277,9614,716
E02001278,8671,1106
E02001279,8566,1134
E02001280,8418,1195
E02001281,7629,1342
E02001282,10122,964
E02001283,9669,1498
E02001284,8416,895
E02001285,8078,1415
E02001286,8246,1530
E08000010,326088,43836
E02001287,5780,821
E02001288,7619,1301
E02001289,10088,1817
E02001290,6154,992
E02001291,7692,1009
E02001292,8077,1314
E02001293,6042,919
E02001294,7790,942
E02001295,7636,851
E02001296,9767,788
E02001297,6611,818
E02001298,8740,858
E02001299,9002,1189
E02001300,8290,1181
E02001301,9026,942
E02001302,7951,1168
E02001303,8816,836
E02001304,12843,2170
E02001305,8232,1319
E02001306,7290,1210
E02001307,11791,1566
E02001308,6162,1024
E02001309,8109,1063
E02001310,9291,866
E02001311,8416,1059
E02001312,8318,814
E02001313,8289,993
E02001314,8292,774
E02001315,7953,1183
E02001316,6631,603
E02001317,8544,1129
E02001318,7868,1261
E02001319,7737,837
E02001320,7640,1063
E02001321,8269,1143
E02001322,7333,1343
E02001323,7950,1145
E02001324,8611,1051
E02001325,7705,1201
E02001326,7733,1273
E07000117,88527,11620
E02005176,8774,1278
E02005177,5903,885
E02005178,10053,534
E02005179,9010,1218
E02005180,6749,1113
E02005181,6191,743
E02005182,5961,787
E02005183,5969,1042
E02005184,5024,976
E02005185,8858,849
E02005186,5941,783
E02006881,10094,1412
E07000118,116821,16349
E02005189,5529,676
E02005190,6096,904
E02005191,9167,1276
E02005192,8947,899
E02005193,8207,1438
E02005194,7874,1290
E02005195,8060,1084
E02005196,10394,1634
E02005197,7371,823
E02005198,9695,1251
E02005199,7694,1419
E02005200,9419,767
E02005201,8265,1145
E02005202,10103,1743
E07000119,79770,16234
E02005203,7901,1383
E02005204,11615,1693
E02005205,6849,1061
E02005206,7175,1353
E02005207,8451,1967
E02005208,10166,2391
E02005209,8232,1568
E02005210,10320,2808
E02005211,9061,2010
E07000120,80815,10600
E02005212,10890,1616
E02005213,11359,1389
E02005214,6379,939
E02005215,12283,1688
E02005216,5390,660
E02005217,12775,901
E02005218,7288,1029
E02005219,8341,1210
E02005220,6110,1168
E07000121,144246,20848
E02005221,9822,1998
E02005222,6125,1335
E02005223,7209,1690
E02005224,5159,1627
E02005225,5641,1113
E02005226,7988,1026
E02005228,5915,890
E02005229,5827,591
E02005230,6694,1199
E02005231,8060,777
E02005233,7404,623
E02005234,8855,517
E02005235,5941,374
E02005236,13638,2009
E02005237,10696,1260
E02005238,5812,827
E02005239,11472,1025
E02006871,11988,1967
E07000122,91405,11873
E02005240,5345,744
E02005241,5444,827
E02005242,6115,962
E02005243,4952,781
E02005244,5999,740
E02005245,6888,1112
E02005246,5183,654
E02005247,9675,1811
E02005248,6821,560
E02005249,10117,839
E02005250,8413,624
E02005251,7122,1044
E02005252,9331,1175
E07000123,141818,14733
E02005253,6226,997
E02005254,6805,1141
E02005255,8801,1564
E02005256,6584,818
E02005257,5997,821
E02005258,7856,1315
E02005259,10132,1140
E02005260,6477,1120
E02005261,10229,778
E02005262,6311,560
E02005263,6996,375
E02005264,12846,725
E02005265,10630,1259
E02005266,8442,488
E02005267,7318,341
E02005268,9148,713
E02005269,11020,578
E07000124,60057,10352
E02005270,7285,1353
E02005271,7736,1339
E02005272,8543,1278
E02005273,5872,1021
E02005274,7293,1275
E02005275,5814,921
E02005276,9021,1331
E02005277,8493,1834
E07000125,70895,9038
E02005278,7968,950
E02005279,10500,1234
E02005280,10850,1168
E02005281,8942,1041
E02005284,6095,1008
E02005285,6364,1040
E02005286,7813,1031
E02006884,12363,1566
E07000126,110527,16777
E02005287,5352,843
E02005288,6059,1173
E02005289,5991,1113
E02005290,7297,851
E02005291,5691,760
E02005292,5865,863
E02005293,5411,971
E02005294,6780,825
E02005295,7284,1014
E02005296,5954,1317
E02005297,8277,1709
E02005298,7460,1037
E02005299,7603,719
E02005300,5088,627
E02005301,6358,1015
E02005302,7718,1141
E02005303,6339,799
E07000127,113949,18222
E02005304,8681,1538
E02005305,7613,1517
E02005306,7257,1385
E02005307,9264,1511
E02005308,6698,1386
E02005309,8266,1547
E02005310,9562,1346
E02005311,6326,1141
E02005312,5844,774
E02005313,8780,760
E02005314,6367,888
E02005315,8055,1887
E02005316,6513,650
E02005317,7221,619
E02005318,7502,1273
E07000128,111223,22688
E02005319,7974,1158
E02005320,5975,1008
E02005321,6303,1380
E02005322,10232,2721
E02005323,7457,1013
E02005324,6788,1183
E02005325,9234,2284
E02005326,8546,2085
E02005327,6364,1236
E02005328,7584,1759
E02005329,9473,1488
E02005330,9087,1879
E02005331,7786,1664
E02005332,8420,1830
E08000011,149571,17803
E02001327,8055,554
E02001328,10178,1168
E02001329,7480,677
E02001330,8989,807
E02001331,10094,1155
E02001332,7299,849
E02001333,8693,1115
E02001334,5859,586
E02001335,7821,943
E02001336,7232,785
E02001337,6009,703
E02001338,5869,775
E02001339,6463,790
E02001340,9324,1327
E02001341,7365,890
E02001342,7223,1286
E02001343,7217,1051
E02001344,5349,721
E02001345,5567,831
E02001346,7485,790
E08000012,494814,51019
E02001347,7813,794
E02001348,6886,739
E02001349,7868,830
E02001350,7993,939
E02001351,8621,804
E02001352,7148,623
E02001353,7377,667
E02001354,7583,800
E02001355,6685,796
E02001356,8113,581
E02001357,7036,764
E02001358,7014,690
E02001359,5426,736
E02001360,8658,944
E02001361,7412,920
E02001362,7241,1133
E02001363,7751,808
E02001364,5680,554
E02001365,9247,818
E02001366,9017,996
E02001367,9521,1469
E02001368,6881,852
E02001369,7992,935
E02001370,7050,864
E02001371,7265,686
E02001372,5982,908
E02001373,9158,893
E02001374,9347,674
E02001375,6809,985
E02001376,9387,655
E02001377,15910,664
E02001378,7798,989
E02001380,7643,1198
E02001381,9848,663
E02001382,6822,910
E02001383,9595,484
E02001384,11308,532
E02001385,9761,571
E02001386,7668,1251
E02001387,7901,1114
E02001388,8223,585
E02001389,6709,493
E02001390,9414,936
E02001391,5835,871
E02001392,5913,1293
E02001393,7618,1290
E02001394,9758,1082
E02001395,6090,855
E02001396,8050,816
E02001397,7406,1364
E02001398,7715,967
E02001399,7112,1065
E02001400,6634,890
E02001401,7800,1281
E02001402,9294,1328
E02001403,6662,579
E02001404,7593,695
E02001405,9593,824
E02006932,16969,130
E02006933,8161,322
E02006934,8050,120
E08000014,275396,47379
E02001429,6792,1566
E02001430,7018,1488
E02001431,7435,2498
E02001432,8954,1762
E02001433,7767,875
E02001434,7444,816
E02001435,8563,930
E02001436,8915,1191
E02001437,9667,2819
E02001438,7332,1058
E02001439,6579,1136
E02001440,5890,1817
E02001441,6499,1718
E02001442,6138,1634
E02001443,5549,1352
E02001444,5617,1174
E02001445,6752,1453
E02001446,6644,1396
E02001447,5702,1352
E02001448,6690,1258
E02001449,9041,1610
E02001450,8249,1668
E02001451,5960,930
E02001452,6656,813
E02001453,8815,1380
E02001454,6955,1193
E02001455,7042,1038
E02001456,7512,1115
E02001457,6751,717
E02001458,7646,808
E02001459,7172,821
E02001460,7521,1109
E02001461,6506,949
E02001462,7922,673
E02001463,6912,839
E02001464,6931,596
E02001465,7192,766
E02001466,8666,1061
E08000013,180049,26464
E02001406,7706,1859
E02001407,5865,1351
E02001408,5582,959
E02001409,10252,1529
E02001410,5944,921
E02001411,5906,1037
E02001412,8947,1220
E02001413,9368,1461
E02001414,5455,1215
E02001415,6845,661
E02001416,6257,622
E02001417,7367,773
E02001418,5753,707
E02001419,7231,858
E02001420,11525,1268
E02001421,10564,1250
E02001422,6871,612
E02001423,6529,1152
E02001424,14456,1740
E02001425,10256,1543
E02001426,5429,1114
E02001427,10424,1289
E02001428,5517,1323
E08000015,323235,50330
E02001467,7879,1270
E02001468,7604,964
E02001469,7758,1386
E02001470,8380,1231
E02001471,7877,855
E02001472,7012,831
E02001473,7950,1135
E02001474,7326,660
E02001475,6369,794
E02001476,7978,711
E02001477,7585,600
E02001478,7874,1298
E02001479,6203,968
E02001480,7734,1427
E02001481,8046,1310
E02001482,8121,744
E02001483,7306,1198
E02001484,7833,1542
E02001485,6950,839
E02001486,8192,1692
E02001487,9712,672
E02001488,8563,1013
E02001489,8131,1792
E02001490,8246,1246
E02001491,6884,882
E02001492,7897,1568
E02001493,8143,782
E02001494,7104,1518
E02001495,7884,1025
E02001496,6210,1058
E02001497,8090,876
E02001498,7451,1070
E02001499,6587,1441
E02001500,7505,1468
E02001501,8068,1263
E02001502,9400,1395
E02001503,7466,1715
E02001504,7228,1855
E02001505,6363,1098
E02001506,8916,2326
E02001507,7109,1550
E02001508,8301,1262
E06000011,339614,63251
E02002684,9887,2872
E02002685,7783,2203
E02002686,8096,1413
E02002687,5928,1155
E02002688,5520,921
E02002689,5664,1256
E02002691,8072,1680
