MSOA,IMD19,DeprivationDecile
E02001760,3222,1
E02001860,3223.2,1
E02002135,3226,1
E02001383,3238.8,1
E02001466,3248.3333333333335,1
E02005134,3254.4,1
E02005495,3258.3333333333335,1
E02002621,3258.6,1
E02002566,3261,1
E02004372,3271.25,1
E02001403,3277.5,1
E02001127,3286.4,1
E02002313,3290.75,1
E02003983,3293.5,1
E02002419,3301.6,1
E02004355,3312.8,1
E02004590,3319,1
E02001548,3336.2,1
E02001316,3342,1
E02001457,3344.2,1
E02002289,3345.5,1
E02006308,3345.8,1
E02001451,3353,1
E02001927,3373,1
E02003973,3379.6,1
E02002016,3388.6,1
E02000306,3389.6,1
E02001331,3409.5714285714284,1
E02000357,3434.25,1
E02002215,3455.4,1
E02001848,3459.75,1
E02006305,3461.8333333333335,1
E02006223,3462.2,1
E02001212,3498.5,1
E02001916,3506,1
E02001350,3509.6,1
E02001319,3535.8,1
E02003335,3536,1
E02000401,3539.75,1
E02001904,3542,1
E02002887,3549.75,1
E02003328,3554.2,1
E02004442,3556.6,1
E02002238,3556.75,1
E02002168,3561,1
E02002965,3561.5,1
E02001591,3567.6,1
E02002577,3568.2,1
E02002293,3568.2,1
E02001846,3572.4,1
E02002087,3574.5,1
E02004587,3575.2,1
E02001653,3578.5,1
E02001783,3586.8,1
E02002619,3600.4,1
E02003150,3603,1
E02005137,3603.2,1
E02002140,3606.6,1
E02001779,3610,1
E02002021,3620.25,1
E02004769,3620.5,1
E02001460,3623.4,1
E02001160,3633.25,1
E02002617,3634.2,1
E02005319,3635.1666666666665,1
E02000362,3636.25,1
E02006794,3645,1
E02002166,3647.5,1
E02001333,3648.8,1
E02002955,3658,1
E02000578,3659.5,1
E02003580,3660.25,1
E02003014,3662,1
E02002837,3670.5,1
E02002978,3671.75,1
E02001071,3698.3333333333335,1
E02005617,3704,1
E02005267,3708.6666666666665,1
E02001794,3716.1666666666665,1
E02001295,3725.4,1
E02001718,3735.75,1
E02001373,3747.6666666666665,1
E02002485,3751.4,1
E02002369,3754,1
E02006073,3759,1
E02001628,3760.25,1
E02006901,3782.714285714286,1
E02002688,3787,1
E02001522,3794.5,1
E02001862,3802.8333333333335,1
E02001234,3806.2,1
E02005451,3824.2,1
E02003055,3827.8,1
E02002068,3829.5,1
E02001575,3829.8,1
E02001585,3832.25,1
E02005544,3834,1
E02005826,3836,1
E02003231,3836.4,1
E02002009,3848,1
E02001859,3859.6666666666665,1
E02000363,3873.6666666666665,1
E02001338,3879.25,1
E02002646,3885.8,1
E02002084,3895,1
E02003481,3900,1
E02001005,3900,1
E02001075,3901.75,1
E02002370,3909.25,1
E02002142,3914.25,1
E02002527,3915.3333333333335,1
E02001298,3919.6,1
E02002982,3921,1
E02000581,3926.2,1
E02002802,3928.6,1
E02002145,3930.25,1
E02001015,3956.2,1
E02001702,3957.2,1
E02001875,3962.4,1
E02001870,3972,1
E02003176,3994.6,1
E02002543,4003,1
E02002118,4004.2,1
E02002061,4004.25,1
E02002515,4008.25,1
E02002134,4010.6,1
E02000402,4014,1
E02003470,4031.75,1
E02002222,4034,1
E02001542,4037.8,1
E02003849,4038.6,1
E02003525,4042.25,1
E02000558,4057,1
E02001693,4062.25,1
E02005120,4064,1
E02001561,4066.5,1
E02005269,4073.4285714285716,1
E02002482,4080,1
E02001129,4084,1
E02005440,4084.75,1
E02001143,4108.666666666667,1
E02004335,4115,1
E02001961,4117,1
E02001856,4128.4,1
E02002143,4131,1
E02001062,4139.2,1
E02003246,4141.6,1
E02004573,4144.5,1
E02002854,4147.4,1
E02006888,4150.333333333333,1
E02001882,4154.8,1
E02004376,4155.5,1
E02005497,4173,1
E02001275,4181.6,1
E02003325,4189.75,1
E02001764,4196.2,1
E02001088,4197.2,1
E02002070,4203.6,1
E02002455,4206,1
E02001774,4214.75,1
E02000407,4217.5,1
E02002972,4232.5,1
E02000421,4236.5,1
E02004078,4244.4,1
E02001463,4245.8,1
E02001052,4260.666666666667,1
E02003490,4264.25,1
E02002595,4269.2,1
E02000883,4279.5,1
E02002961,4283,1
E02002010,4290.5,1
E02005735,4293.4,1
E02002423,4299.25,1
E02003084,4301,1
E02005250,4301,1
E02000968,4305.625,1
E02006738,4313,1
E02002012,4313.2,1
E02001047,4324.333333333333,1
E02003570,4326.5,1
E02001092,4334,1
E02003244,4347.8,1
E02002490,4348.5,1
E02005643,4367.4,1
E02002648,4373.8,1
E02002979,4375.5,1
E02004340,4377.5,1
E02002872,4380,1
E02002438,4404.6,1
E02001920,4404.8,1
E02006897,4411.5,1
E02005734,4417,1
E02006770,4418.25,1
E02001519,4419.25,1
E02005590,4421.5,1
E02000686,4421.75,1
E02000749,4425.4,1
E02006068,4425.6,1
E02000881,4433,1
E02005711,4439.6,1
E02002226,4443.666666666667,1
E02001057,4444.166666666667,1
E02000117,4447,1
E02004330,4448.6,1
E02004771,4448.8,1
E02002152,4465.75,1
E02003575,4473.75,1
E02001123,4474,1
E02000282,4476.4,1
E02002570,4488,1
E02000373,4490,1
E02002537,4500.5,1
E02005696,4501.25,1
E02001689,4502.2,1
E02000290,4516.75,1
E02000301,4520.5,1
E02004284,4523.666666666667,1
E02004067,4530.5,1
E02001256,4537.333333333333,1
E02006793,4545.6,1
E02001069,4548,1
E02004326,4549.5,1
E02004031,4564.4,1
E02002551,4569.5,1
E02001497,4570.2,1
E02002066,4575.75,1
E02001799,4577.285714285715,1
E02000821,4582,1
E02002844,4586.166666666667,1
E02000467,4602.833333333333,1
E02006303,4611,1
E02005313,4618.666666666667,1
E02002963,4619.6,1
E02001181,4623.75,1
E02002388,4625.2,1
E02002161,4628.5,1
E02003292,4629.833333333333,1
E02003539,4630.142857142857,1
E02000223,4635,1
E02001539,4641.25,1
E02004301,4641.4,1
E02002164,4645.5,1
E02005546,4667.2,1
E02002892,4670.75,1
E02001981,4671.666666666667,1
E02000628,4671.666666666667,1
E02002177,4675.8,1
E02002295,4686.25,1
E02005585,4687.285714285715,1
E02004288,4690.666666666667,1
E02000303,4697.8,1
E02002764,4701.75,1
E02002052,4710.833333333333,1
E02004351,4714,1
E02002544,4724.6,1
E02002884,4725,1
E02002597,4733.166666666667,1
E02002630,4749.75,1
E02004640,4754,1
E02002287,4762,1
E02001248,4770.5,1
E02001569,4780.166666666667,1
E02001966,4786,1
E02006894,4786,1
E02000022,4792.2,1
E02004770,4797.6,1
E02000213,4798.8,1
E02001795,4811.2,1
E02002411,4811.6,1
E02002489,4815.4,1
E02000023,4816.25,1
E02001597,4817.333333333333,1
E02000015,4823.5,1
E02005181,4826,1
E02001778,4829.75,1
E02000341,4831.4,1
E02000743,4840.25,1
E02004767,4845.25,1
E02006860,4850.428571428572,1
E02002147,4857.2,1
E02002047,4858.5,1
E02001074,4865.166666666667,1
E02003499,4865.8,1
E02004643,4867,1
E02001491,4869.2,1
E02001572,4869.2,1
E02001025,4869.8,1
E02001858,4871.8,1
E02003167,4892.333333333333,1
E02002159,4907.5,1
E02000969,4919,1
E02002212,4924.75,1
E02003798,4927.75,1
E02002181,4937.75,1
E02000126,4943.25,1
E02006476,4946.25,1
E02001339,4966.4,1
E02004439,4976.2,2
E02000245,4982.4,2
E02000368,4982.833333333333,2
E02005887,4988.166666666667,2
E02006887,4989.2,2
E02003260,4993,2
E02002073,4995.6,2
E02001568,4996.5,2
E02000229,5000.5,2
E02000309,5001.5,2
E02002970,5004.8,2
E02006913,5005.75,2
E02006722,5026.5,2
E02002457,5027.2,2
E02001378,5028.2,2
E02001096,5047.8,2
E02006724,5056.5,2
E02000278,5062,2
E02002542,5064.833333333333,2
E02001622,5077.333333333333,2
E02003288,5097,2
E02006905,5097.25,2
E02002546,5101.4,2
E02005429,5105.666666666667,2
E02002065,5109.285714285715,2
E02004302,5116.6,2
E02002649,5120.5,2
E02002602,5135,2
E02005231,5135.8,2
E02001921,5140.4,2
E02002005,5146.6,2
E02002995,5146.75,2
E02001485,5151.5,2
E02002248,5154.6,2
E02001079,5165.6,2
E02002687,5165.75,2
E02002921,5173,2
E02002371,5175.8,2
E02001586,5181.833333333333,2
E02006730,5182.75,2
E02002818,5185,2
E02004331,5195.6,2
E02002171,5201.8,2
E02005179,5204,2
E02003157,5205,2
E02002890,5207.571428571428,2
E02001765,5213.75,2
E02005268,5217.666666666667,2
E02004352,5223.4,2
E02002873,5230.5,2
E02005124,5247,2
E02002666,5248.4,2
E02002500,5254.75,2
E02002253,5262.5,2
E02000409,5283.75,2
E02005656,5284,2
E02001051,5287.6,2
E02001955,5318.25,2
E02002554,5321,2
E02005435,5321.75,2
E02003520,5334,2
E02001876,5334.6,2
E02001588,5357,2
E02000014,5358,2
E02002875,5358.4,2
E02000208,5367.6,2
E02000266,5370.857142857143,2
E02005670,5375,2
E02001310,5384.8,2
E02000885,5393.75,2
E02002448,5398.8,2
E02005246,5410,2
E02001529,5410.166666666667,2
E02000907,5414.833333333333,2
E02003247,5445.8,2
E02001372,5468.75,2
E02003997,5476,2
E02000882,5490.75,2
E02001362,5493.4,2
E02002722,5498.833333333333,2
E02002503,5507,2
E02000408,5514,2
E02005316,5531.75,2
E02001732,5534.666666666667,2
E02001816,5541.4,2
E02002519,5546.6,2
E02003405,5549.666666666667,2
E02003949,5563,2
E02001348,5571,2
E02001116,5575,2
E02000013,5578.6,2
E02005445,5588.142857142857,2
E02000009,5592.5,2
E02004056,5594.2,2
E02004441,5596,2
E02001313,5598,2
E02002203,5598.8,2
E02002190,5599.714285714285,2
E02002904,5607.5,2
E02001852,5614.5,2
E02001066,5615.333333333333,2
E02001303,5619.6,2
E02000315,5620.8,2
E02002130,5621,2
E02003322,5621.75,2
E02000554,5622,2
E02002132,5624.5,2
E02002251,5627.75,2
E02002815,5634.25,2
E02000018,5638.8,2
E02003274,5639.5,2
E02005263,5644.25,2
E02005177,5649.5,2
E02002950,5649.75,2
E02002903,5656.5,2
E02005541,5659.5,2
E02000360,5659.666666666667,2
E02001661,5664.8,2
E02000123,5672,2
E02001183,5694.75,2
E02002309,5695.75,2
E02004113,5700.666666666667,2
E02001514,5705.25,2
E02001531,5708.5,2
E02000049,5710.4,2
E02005851,5720,2
E02002036,5720.5,2
E02000744,5722.75,2
E02003218,5727.75,2
E02006798,5729,2
E02002362,5731.4,2
E02002059,5732,2
E02006783,5742.4,2
E02005080,5743,2
E02000007,5745.6,2
E02000369,5746.166666666667,2
E02000572,5751.8,2
E02005105,5760.4,2
E02002163,5761.833333333333,2
E02000420,5762.25,2
E02006921,5779.25,2
E02001202,5783.25,2
E02002956,5803.166666666667,2
E02006254,5804.8,2
E02000563,5807.6,2
E02001977,5812.6,2
E02002572,5841.25,2
E02003541,5862.166666666667,2
E02003552,5868,2
E02000626,5869,2
E02005257,5877.75,2
E02002763,5880,2
E02000580,5882.6,2
E02001803,5887.4,2
E02000828,5897.5,2
E02002043,5897.8,2
E02002055,5901.666666666667,2
E02003923,5903.25,2
E02001259,5909.833333333333,2
E02002139,5918.6,2
E02004328,5931.5,2
E02001696,5944.166666666667,2
E02002071,5950,2
E02002830,5954.8,2
E02001301,5959.6,2
E02001710,5970.285714285715,2
E02001691,5972,2
E02006799,5973.166666666667,2
E02000817,5979.5,2
E02003250,5982.2,2
E02000664,5986,2
E02001949,5988.75,2
E02003498,6002.2,2
E02004047,6003,2
E02002452,6005.2,2
E02002467,6009.6,2
E02001834,6010,2
E02001962,6013.5,2
E02001006,6027,2
E02001933,6027.2,2
E02003135,6044,2
E02002842,6046.75,2
E02002057,6047.333333333333,2
E02000010,6055,2
E02005053,6057.8,2
E02000903,6066,2
E02002587,6066.8,2
E02002241,6067.875,2
E02002165,6068.6,2
E02001232,6073.4,2
E02002439,6076,2
E02001468,6076.6,2
E02003969,6077.25,2
E02002085,6082.75,2
E02001418,6088.333333333333,2
E02006868,6090.142857142857,2
E02000354,6090.166666666667,2
E02005956,6090.5,2
E02001400,6092.25,2
E02005303,6099.25,2
E02003743,6108.6,2
E02000654,6112.8,2
E02000187,6117.4,2
E02002883,6123.5,2
E02002808,6123.666666666667,2
E02001188,6134,2
E02001048,6140.2,2
E02001688,6145.5,2
E02003533,6160.25,2
E02005616,6164.5,2
E02001659,6167.75,2
E02005230,6174.25,2
E02006483,6175.8,2
E02005051,6181.375,2
E02000008,6181.714285714285,2
E02002453,6183.833333333333,2
E02001164,6202,2
E02003313,6225.375,2
E02004604,6227.8,2
E02001347,6229.8,2
E02000670,6231,2
E02001826,6232.75,2
E02002404,6234.833333333333,2
E02002740,6240.25,2
E02001636,6246.2,2
E02000914,6249.8,2
E02000871,6252,2
E02003134,6256.4,2
E02001246,6266.4,2
E02002208,6284.4,2
E02000648,6287.2,2
E02000016,6289,2
E02001159,6292,2
E02001992,6293.333333333333,2
E02003277,6294,2
E02000299,6296.6,2
E02000818,6298.5,2
E02003142,6299.333333333333,2
E02001768,6305,2
E02002848,6306.333333333333,2
E02002661,6315.6,2
E02001140,6330,2
E02000829,6333,2
E02004349,6340.666666666667,2
E02001547,6343.285714285715,2
E02001337,6353,2
E02004586,6361,2
E02002019,6361.6,2
E02003272,6371.6,2
E02003149,6378.6,2
E02000825,6378.6,2
E02003573,6387.2,2
E02001396,6389.666666666667,2
E02005028,6390,2
E02001775,6394.5,2
E02006896,6397.25,2
E02002626,6405.4,2
E02005023,6414,2
E02004048,6420.5,2
E02002301,6420.5,2
E02004639,6425,2
E02006479,6429,2
E02002305,6433.75,2
E02001763,6434.5,2
E02003889,6437.25,2
E02002111,6442.25,2
E02001939,6448.75,2
E02001969,6455,2
E02005674,6461.75,2
E02004336,6462.25,2
E02002857,6464.5,2
E02006124,6465.4,2
E02002207,6468,2
E02003034,6469.285714285715,2
E02000270,6469.6,2
E02004748,6472,2
E02002014,6475.25,2
E02003190,6486.5,2
E02002530,6488.5,2
E02004482,6490.166666666667,2
E02003995,6492.5,2
E02003826,6494,2
E02002609,6496,2
E02006784,6501.8,2
E02003584,6511.5,2
E02002977,6513,2
E02002384,6513.8,2
E02002069,6520.25,2
E02002579,6521.8,2
E02005548,6523.4,2
E02006841,6546,2
E02006918,6547.6,2
E02005561,6550.833333333333,2
E02006895,6552.4,2
E02002286,6558.5,2
E02004438,6574.8,2
E02000102,6583.75,2
E02000876,6585.5,2
E02002441,6590.6,2
E02002513,6609.333333333333,2
E02000732,6613.75,2
E02006552,6620.5,2
E02000002,6621.5,2
E02001973,6627,2
E02004646,6629.333333333333,2
E02000865,6631.25,2
E02000530,6634,2
E02000366,6635,2
E02000288,6641.5,2
E02004365,6642.25,2
E02000874,6651.25,2
E02005243,6654.5,2
E02001510,6657.25,2
E02003827,6662.4,2
E02000746,6674,2
E02002953,6675,2
E02000718,6676.5,2
E02000411,6684,2
E02002136,6686.75,2
E02005880,6698.25,2
E02004589,6699,2
E02001147,6699.8,2
E02000864,6701.75,2
E02006815,6703.333333333333,2
E02005216,6706.75,2
E02001923,6708,2
E02002820,6708.833333333333,2
E02000929,6715.25,2
E02005438,6716.5,2
E02000140,6717.4,2
E02000348,6718.6,2
E02001175,6727.6,2
E02001000,6730.833333333333,2
E02005710,6741,2
E02005658,6741.25,2
E02000361,6741.75,2
E02003128,6743.2,2
E02000106,6744.5,2
E02000822,6751,2
E02003127,6756,2
E02002889,6765.5,2
E02005801,6766.5,2
E02000887,6770.5,2
E02006827,6772,2
E02001488,6773.2,2
E02001349,6778,2
E02000020,6782.2,2
E02003846,6785.6,2
E02005885,6787.4,2
E02002282,6791.25,2
E02000135,6795.666666666667,2
E02003130,6798.428571428572,2
E02000721,6806.2,2
E02002660,6808.4,2
E02005800,6818.4,2
E02006813,6825.8,2
E02001533,6825.8,2
E02002969,6829.8,2
E02000963,6838.4,2
E02000406,6840.5,2
E02003799,6843.2,2
E02002464,6851.8,2
E02000321,6852.5,2
E02000641,6852.6,2
E02001811,6854.333333333333,2
E02002567,6864.75,2
E02001704,6866.4,2
E02000681,6866.4,2
E02006164,6867,2
E02002662,6868.4,2
E02000206,6869.5,2
E02003558,6873.25,2
E02002618,6874,2
E02003476,6876.8,2
E02005418,6881.4,2
E02004004,6893.285714285715,2
E02006890,6901.5,2
E02001070,6905,2
E02004300,6907.2,2
E02004605,6910.5,2
E02006250,6912.8,2
E02002480,6916.25,2
E02005653,6925.2,2
E02003125,6928,2
E02002491,6928.75,2
E02001918,6943.333333333333,2
E02004050,6945.5,2
E02002396,6946.333333333333,2
E02000412,6946.75,2
E02004058,6947.6,2
E02003141,6949,2
E02000116,6949.75,2
E02001155,6955.8,2
E02001427,6973.666666666667,2
E02005804,6978.8,2
E02001109,6979.4,2
E02003013,6980.714285714285,2
E02001928,6985.2,2
E02000875,6998.2,2
E02000672,7000.4,2
E02003025,7019.5,2
E02003293,7024.833333333333,2
E02000824,7045.6,2
E02001784,7048.2,2
E02003744,7049.125,2
E02003538,7052.333333333333,2
E02000740,7065,2
E02005596,7069.333333333333,2
E02003159,7076.25,2
E02006805,7085.4,2
E02002283,7089.8,2
E02006256,7091.5,2
E02000019,7091.8,2
E02000372,7099.2,2
E02002115,7102,2
E02000557,7108.2,2
E02000384,7116.2,2
E02003148,7121.5,2
E02000988,7126.8,2
E02000683,7127.25,2
E02001767,7135.4,2
E02005834,7137.8,2
E02005447,7139.5,2
E02002678,7143.2,2
E02003888,7150.75,2
E02001193,7153.5,2
E02005883,7170,2
E02005587,7172.285714285715,2
E02005259,7173.833333333333,2
E02002170,7177.5,2
E02006107,7178.6,2
E02001424,7183.111111111111,2
E02004051,7183.6,2
E02001798,7185.333333333333,2
E02002211,7186.25,2
E02000279,7188.833333333333,2
E02004375,7190,2
E02000655,7191.2,2
E02000323,7191.833333333333,2
E02002902,7192.833333333333,2
E02005740,7199.428571428572,2
E02000145,7204.4,2
E02000253,7206.333333333333,2
E02002676,7211.6,2
E02005215,7228.5,2
E02003948,7230,2
E02000062,7230,2
E02006300,7241.2,2
E02000840,7254.8,2
E02000370,7260.25,2
E02000021,7265.2,2
E02006167,7266.5,2
E02003249,7269.833333333333,2
E02001915,7274.714285714285,2
E02005119,7281.5,2
E02006802,7286.8,2
E02004293,7295.5,2
E02000872,7300.5,2
E02002390,7308.25,2
E02001528,7313.857142857143,2
E02002606,7316.333333333333,2
E02002671,7317.6,2
E02000633,7320.4,2
E02000201,7323,2
E02002294,7323.5,2
E02002532,7339.75,2
E02003323,7341.75,2
E02004513,7343.857142857143,2
E02000317,7350.8,2
E02004182,7354,2
E02004445,7356.8,2
E02003321,7357,2
E02001752,7372.5,2
E02001009,7372.75,2
E02003555,7375.6,2
E02003266,7380.166666666667,2
E02000568,7387.2,2
E02001148,7389,2
E02000551,7397.2,2
E02001893,7410.6,2
E02000571,7412.6,2
