LSOACode,MY2018AllPopulation
E01011952,1734
E01011953,2070
E01011991,1745
E01011992,1532
E01011993,1793
E01011994,1490
E01011955,1407
E01011957,1261
E01032540,993
E01032541,2198
E01033466,2321
E01011973,1257
E01011974,1709
E01011975,1397
E01011976,930
E01011965,1534
E01011966,1304
E01011983,1631
E01012002,1380
E01011951,1170
E01011964,1360
E01011967,1633
E01011999,1929
E01012000,1501
E01011950,1320
E01011986,1181
E01011987,1416
E01012001,2337
E01011949,1983
E01011980,1638
E01011981,1726
E01011984,1191
E01011985,1261
E01011988,1939
E01011989,1782
E01011990,1789
E01011995,1297
E01011996,1481
E01011997,1964
E01011998,1899
E01011961,1422
E01011962,1431
E01011977,1708
E01011978,1568
E01011979,1701
E01011959,2423
E01011960,1289
E01011963,1339
E01011968,1962
E01011982,1268
E01012003,1494
E01012005,1943
E06000002,140545
E01012068,2453
E01012092,2399
E01012093,2297
E01012094,2945
E01033468,3053
E01012058,1408
E01012059,1634
E01012060,1634
E01012061,1318
E01012036,1760
E01012037,1654
E01012038,1779
E01012039,1714
E01012040,1642
E01012041,942
E01012074,1494
E01012075,1528
E01012076,1508
E01012077,1449
E01012088,1508
E01012078,1482
E01012079,1455
E01012080,1210
E01012081,1773
E01012026,1651
E01012027,1960
E01033469,1790
E01012015,1421
E01012016,1732
E01012017,1499
E01012089,1480
E01012090,1466
E01012091,1712
E01012011,1922
E01012012,1736
E01012013,1344
E01012014,1640
E01012053,1621
E01012054,1732
E01012055,1911
E01012056,2631
E01012057,1916
E01012082,1510
E01012083,1616
E01012084,1610
E01012085,1384
E01012018,1531
E01012019,1277
E01012020,1564
E01012021,1366
E01012007,1440
E01012008,1366
E01012009,1854
E01012010,1411
E01012046,1776
E01012047,1578
E01012048,1732
E01012049,1322
E01012050,1497
E01012051,1337
E01012052,1232
E01012022,1748
E01012023,1386
E01012024,1455
E01012025,1238
E01012065,1826
E01012066,1909
E01012067,1557
E01012042,1335
E01012043,1320
E01012044,1542
E01012045,1503
E01032552,1643
E01032553,1605
E01012030,1558
E01012031,1541
E01012032,1630
E01012033,1227
E01012034,1405
E01012035,1317
E01012062,1463
E01012063,1365
E01012064,2459
E01012071,1364
E01012073,1345
E01032593,2198
E06000057,320274
E01027376,1690
E01027377,1671
E01027385,1332
E01027387,1776
E01027388,1415
E01027389,1650
E01027378,1231
E01027379,1478
E01027380,1371
E01027382,1658
E01027386,1365
E01027374,2075
E01027375,1848
E01027381,1869
E01027383,1224
E01027384,1447
E01027390,2043
E01027356,1913
E01027357,1238
E01027366,1478
E01027367,1855
E01027358,1913
E01027359,2285
E01033715,1023
E01033717,1536
E01027361,1933
E01027362,1682
E01027363,1276
E01027364,1809
E01027370,1734
E01027371,1869
E01027372,2225
E01027365,2312
E01027368,1714
E01027369,1562
E01027373,1931
E01027443,1444
E01027444,2487
E01027445,1586
E01027446,1345
E01027451,1770
E01027474,1945
E01027475,1400
E01027541,1687
E01027542,1794
E01027543,1368
E01027544,1273
E01027528,1430
E01027529,1101
E01027539,1726
E01027545,1954
E01027546,1641
E01027457,1837
E01027462,1910
E01027463,1765
E01027524,1739
E01027525,1664
E01027526,1147
E01027527,1333
E01027536,1353
E01027533,1664
E01027540,1949
E01027549,2175
E01033716,2384
E01027532,1868
E01027537,1378
E01027538,1713
E01027447,1761
E01027448,2259
E01027450,1663
E01027473,2124
E01027452,1361
E01027453,1423
E01027461,1287
E01033718,2140
E01027530,1347
E01027531,1687
E01027534,1828
E01027535,1335
E01027553,1672
E01027554,1290
E01027455,1454
E01027456,1247
E01027458,2064
E01027460,1734
E01027479,2248
E01027480,1312
E01027503,1647
E01027511,1120
E01027515,1479
E01027517,1886
E01027518,1489
E01027519,1367
E01027550,1284
E01027551,1544
E01027552,1236
E01027514,1740
E01027516,1132
E01027520,1533
E01027521,1644
E01027522,1294
E01027523,1159
E01027392,1703
E01027393,1592
E01027416,1648
E01027424,2009
E01027414,1441
E01027415,1595
E01027431,1666
E01027441,3104
E01027442,1535
E01027391,1485
E01027422,1779
E01027423,1485
E01027429,1849
E01027430,1602
E01027425,3316
E01027426,1818
E01027427,1801
E01027428,1427
E01027437,1746
E01027438,1356
E01027439,1881
E01027440,1413
E01027400,1326
E01027401,1433
E01027402,1238
E01027403,1174
E01027395,1658
E01027396,1313
E01027397,1396
E01027399,1430
E01027404,1449
E01027405,1379
E01027398,2297
E01027409,1461
E01027411,1458
E01027412,1536
E01027413,2018
E01027417,1483
E01027418,1872
E01027419,1533
E01027420,1329
E01027421,1336
E01027394,1075
E01027406,1219
E01027407,1200
E01027408,1392
E01027410,1551
E01027432,1648
E01027433,2558
E01027434,1356
E01027435,1388
