LSOACode,MY2018AllPopulation
E01011032,1990
E01011034,1710
E01011157,1768
E01011161,1332
E01011163,1374
E01011164,1802
E01011165,1790
E01011166,1679
E01011167,2053
E01011033,1782
E01011035,1702
E01011036,1833
E01011037,2312
E01011016,1501
E01011017,1564
E01011018,1523
E01011019,1580
E01011020,1487
E01011021,1676
E01011022,1373
E01011126,1687
E01011127,1359
E01011156,1584
E01011158,1972
E01011159,1783
E01011160,1371
E01011162,1428
E01011025,1505
E01011026,1569
E01011136,1907
E01011137,1528
E01011128,2060
E01011130,2291
E01033542,3102
E01011121,1625
E01011122,1450
E01011123,1657
E01011124,2079
E01011125,1571
E01011129,1292
E01011138,1848
E01011139,1636
E01011140,1800
E01011141,1738
E01011132,1679
E01011142,1703
E01011217,1517
E01011218,1536
E01011216,1525
E01011219,1699
E01011220,1742
E01011221,1660
E01011046,1346
E01011100,1535
E01011102,1467
E01011108,1427
E01011133,1657
E01011134,2293
E01011143,1950
E01011144,1795
E01011260,1482
E01011257,2230
E01011258,1955
E01011259,1965
E01011261,1468
E01011262,1757
E01011263,1655
E01011101,1808
E01011103,1411
E01011104,1631
E01011105,2468
E01011212,1566
E01011213,1551
E01011214,1584
E01011215,2207
E01011039,1746
E01011042,1625
E01011047,1509
E01011210,1938
E01011252,1078
E01011253,1331
E01011254,1497
E01011255,1460
E01011256,1377
E01011038,1770
E01011041,1564
E01011106,1559
E01011107,2502
E01011201,1858
E01011203,1886
E01011209,2503
E01011211,1649
E01011040,1957
E01011043,2698
E01011044,1697
E01011045,2079
E01011089,1282
E01011091,1362
E01011092,1262
E01011200,2414
E01011204,1595
E01011206,1619
E01011208,1688
E01011240,1713
E01011231,1532
E01011236,2114
E01011238,1732
E01011239,1505
E01011093,1498
E01011094,1604
E01011096,1543
E01011098,1643
E01011146,1532
E01011151,1589
E01011202,1450
E01011205,1587
E01011090,1489
E01011095,1414
E01011097,1512
E01011099,1483
E01011150,1541
E01011155,1969
E01011207,1471
E01011234,1440
E01011232,1661
E01011233,1643
E01011235,2011
E01011237,1780
E01011004,1368
E01011006,1502
E01011008,1501
E01011012,1680
E01011145,1553
E01011147,1653
E01011148,1695
E01011152,1711
E01011007,2098
E01011223,2034
E01011225,1966
E01011229,4757
E01011080,2111
E01011081,1849
E01011082,1821
E01011230,2467
E01011005,1571
E01011009,1410
E01011010,1509
E01011011,1526
E01011077,1653
E01011149,1838
E01011153,1740
E01011154,1636
E01011191,1602
E01011192,1605
E01011193,1939
E01011194,1302
E01011079,1974
E01011083,1866
E01011084,1947
E01011085,1695
E01011224,1897
E01011226,1528
E01011227,1588
E01011228,1410
E01011071,1662
E01011072,1567
E01011073,1571
E01011078,1859
E01011086,1562
E01011087,1552
E01011088,1313
E01011222,1769
E01011190,1678
E01011195,1892
E01011196,1808
E01011197,1557
E01011070,1676
E01011074,1846
E01011075,1429
E01011076,1453
E01011169,1552
E01011170,1774
E01011171,1395
E01011172,1044
E01011173,1259
E01011176,1449
E01011109,1867
E01011113,1605
E01011114,1736
E01011119,1497
E01011168,1570
E01011174,1793
E01011175,1588
E01011177,1970
E01011178,1864
E01011118,1637
E01011120,1543
E01011198,1552
E01011199,1523
E01011110,1350
E01011111,1870
E01011112,1588
E01011115,1881
E01011116,1658
E01011117,1689
E01011180,1910
E01011182,1715
E01011186,1813
E01011188,1626
E01011179,1717
E01011181,1781
E01011183,2013
E01011184,1454
E01011185,1691
E01011187,1798
E01011189,1698
E08000035,789194
E01011698,1464
E01011699,1288
E01011701,1203
E01011702,1290
E01011703,1184
E01011697,2280
E01011700,1374
E01011704,1916
E01011705,1339
E01011581,1441
E01011582,1665
E01011583,1470
E01011584,1477
E01011569,1711
E01011571,1530
E01011572,1715
E01011573,1349
E01011574,1372
E01011707,1285
E01011709,1661
E01011710,1387
E01011711,1375
E01011712,1328
E01011561,1151
E01011696,1518
E01011706,1483
E01011708,1495
E01011713,1916
E01011570,2171
E01011576,1405
E01032503,1441
E01032504,1573
E01011266,2454
E01011270,1605
E01011279,1299
E01011280,2078
E01011265,1775
E01011267,1571
E01011271,2149
E01011272,1440
E01011268,1350
E01011273,1438
E01011274,1329
E01011275,1296
E01011264,1236
E01011269,1615
E01011276,1517
E01011578,1222
E01011554,1445
E01011562,1510
E01011563,1344
E01011564,1461
E01011567,1407
E01011376,1431
E01011377,1324
E01011378,1383
E01011382,1416
E01011277,1469
E01011278,1625
E01011579,1206
E01011580,1326
E01011556,1641
E01011557,1433
E01011565,1457
E01011566,1233
E01011568,1828
E01011380,1465
E01011381,1356
E01011385,1263
E01011386,1504
E01011379,1476
E01011384,1432
E01032501,1111
E01032502,1838
E01011555,1293
E01011558,1689
E01011559,1350
E01011560,1863
E01011383,1603
E01011388,1456
E01011684,1540
E01011695,1642
E01011650,1424
E01011651,1523
E01011653,1395
E01011655,1393
E01011455,1283
E01011456,1673
E01011459,1581
E01011461,1514
E01011311,1210
E01011649,1467
E01011715,1268
E01011719,1371
E01011509,1320
E01011511,1390
E01011512,1735
E01011515,1439
E01011516,1608
E01011508,1376
E01011517,1717
E01011652,1443
E01011654,1401
E01011505,1569
E01011506,1405
E01011507,1553
E01011510,1582
E01011514,1626
E01011452,1645
E01011454,1559
E01011457,1469
E01011458,1769
E01011465,1605
E01011453,1445
E01011460,1521
E01011462,1671
E01011463,1615
E01011464,1657
E01011714,1659
E01011716,1521
E01011717,1331
E01011718,1851
E01011720,1468
E01011296,1608
E01011297,1661
E01011309,1465
E01011310,1778
E01011513,2152
E01011688,1558
E01011689,1431
E01011691,1549
E01011504,1458
E01011641,1516
E01011642,1347
E01011645,1494
E01011484,1542
E01011485,1594
E01011686,1500
E01032493,1295
E01032494,1797
E01011350,1488
E01011351,1682
E01011352,1835
E01011353,1730
E01011656,1451
E01011657,1318
E01011659,1388
E01011661,1570
E01011643,1412
E01011644,1302
E01011646,1734
E01011647,1793
E01011648,1772
E01011354,1340
E01011355,1404
E01011357,2027
E01011450,1327
E01011588,1728
E01011589,1546
E01011590,1577
E01011592,1485
E01011593,1955
E01011421,1556
E01011425,1514
E01011658,1478
E01011660,1433
E01011662,1209
E01011721,1458
E01011722,2092
E01011723,1535
E01011724,1941
E01011356,1947
E01011358,1556
E01011359,1870
E01011360,2140
E01011361,2590
E01011435,2027
E01011440,1926
E01011441,2257
E01032945,3408
E01011477,2000
E01011480,1706
E01011488,1390
E01011489,1749
E01011324,2038
E01011325,1498
E01011326,1372
E01011332,1439
E01011423,1642
E01011424,1951
E01011427,1911
E01011431,2312
E01011422,1705
E01011426,1629
E01011428,2221
E01011429,2241
E01011663,1619
E01011664,1044
E01011665,1291
E01011667,1496
E01011323,1201
E01011329,1459
E01011330,1249
E01011333,1286
E01011327,1332
E01011328,1504
E01011335,1707
E01011591,1585
E01011430,2010
E01011432,2021
E01011433,2245
E01011434,1889
E01011445,1940
E01011446,1846
E01011447,1560
E01011448,1752
E01011449,1603
E01011670,3408
E01011671,1646
E01033002,2197
E01033003,2015
E01033005,4030
E01011478,1804
E01011479,1611
E01011481,1791
E01011482,1724
E01011483,1655
E01011406,1316
E01011407,1379
E01011408,1421
E01011409,1365
E01011410,1520
E01011412,1623
E01011331,1218
E01011334,1327
E01011336,1476
E01011337,1555
E01011281,2070
E01011282,1375
E01011283,1359
E01011286,1193
E01011295,1529
E01011339,2063
E01011340,1732
E01011342,1575
E01011346,1877
E01011341,1462
E01011343,1855
E01011345,1439
E01011666,1430
E01011585,1332
E01011587,1594
E01011594,1403
E01011596,1635
E01011598,1490
E01011678,4481
E01011681,2230
E01033006,4273
E01011338,1821
E01011673,2185
E01011677,1750
E01033031,1592
E01033035,1689
E01011344,2336
E01011347,2162
E01011348,1738
E01011349,1865
E01011586,1831
E01011595,1822
E01011597,1597
E01011599,1499
E01011287,1357
E01032499,1657
E01032500,1299
E01032606,2000
E01032607,1268
E01032608,1135
E01011608,1396
E01011609,1395
E01011610,1447
E01011611,1398
E01011614,1881
E01011413,1450
E01011415,1558
E01011416,1447
E01011417,1545
E01011420,1227
E01011615,1450
E01011617,1547
E01011618,1616
E01011621,1516
E01011284,1889
E01011292,1634
E01011293,1789
E01011294,1440
E01011363,1841
E01011616,1580
E01011620,1312
E01011622,1704
E01011624,1876
E01011411,1595
E01011414,1430
E01011418,1390
E01011419,1071
E01011396,1810
E01011399,1518
E01011400,1356
E01011403,1371
E01011623,1621
E01011625,1572
E01011626,1934
E01033021,1656
E01033033,2094
E01033034,1661
E01011602,1962
E01011603,1673
E01011605,1595
E01011606,1625
E01011613,1776
E01011397,1414
E01011398,1258
E01011401,1452
E01011404,1340
E01011405,1456
E01011725,1669
E01011729,1642
E01011730,1545
E01011735,1647
E01011600,1442
E01011601,1641
E01011604,1323
E01011607,1501
E01011612,1364
E01011726,1460
E01011727,1608
E01011728,1365
E01011739,1490
E01011362,1951
E01011731,1432
E01011732,1899
E01011733,1393
E01011366,1758
E01011368,1555
E01011370,1762
E01033013,1641
E01033032,1939
E01011734,2530
E01011736,1369
E01011737,1565
E01011738,1416
E01011364,2116
E01011371,1724
E01011373,1643
E01011374,1267
E01011312,1908
E01011316,2098
E01011372,1476
E01011375,1899
E01011390,1384
E01011391,1541
E01011392,1899
E01011402,1897
E01011298,1485
E01011299,2691
E01011302,1338
E01011303,1106
E01011300,1464
E01011301,1206
E01011304,1587
E01011305,1395
E01011306,1254
E01011315,1585
E01011317,1796
E01011318,1490
E01011321,1698
E01011369,1593
E01011313,1767
E01011314,1617
E01011319,1666
E01011320,1795
E01011322,1617
E01011471,1448
E01011472,1611
E01011473,1567
E01011474,1393
E01011518,2159
E01011524,1156
E01011526,1280
E01011531,1583
E01011466,1430
E01011469,1480
E01011475,1577
E01011476,1179
E01011519,1425
E01011522,1343
E01011525,1578
E01011528,1528
E01011532,1653
E01011520,1433
E01011521,2067
E01011523,1787
E01011527,1690
E01011529,1344
E01011635,1754
E01011637,1771
E01011638,1419
E01032487,1019
E01032488,1782
E01011627,1432
E01011628,1204
E01011629,1294
E01011632,1397
E01011633,1477
E01011490,3343
E01011502,1373
E01032497,1649
E01032498,1534
E01011496,1435
E01011630,2073
E01011634,1582
E01011636,1778
E01011639,1464
E01011491,1410
E01011492,1511
E01011493,1554
E01011494,1453
E01011497,1606
E01011540,1539
E01032489,1952
E01032490,1376
E01032491,1254
E01032492,1967
E01011307,1487
E01011308,1491
E01011393,1814
E01011394,1161
E01011395,1162
E01011533,1276
E01011541,1948
E01011545,1342
E01011547,1826
E01011499,3139
E01011500,1519
E01032495,3147
E01032496,2207
E01011530,1344
E01011534,1753
E01011546,1580
E01011548,1517
E01011550,1293
E01011537,1988
E01011538,1595
E01011551,1582
E01011552,1482
E01011535,1660
E01011536,1556
E01011549,1422
E01011553,1388
E01011685,2364
E01011687,1537
E01011690,1347
E01011692,1389
E01011693,1551
E01011694,1700
E01032876,1759
E01011442,1901
E01011443,1736
E01011444,1980
E01011451,1968
E01011668,1777
E01011669,1682
E01032946,3011
E01033008,4018
E01033010,4083
E01033011,2046
E01033015,1980
E01033016,1218
E01011467,1645
E01011468,1850
E01011470,1141
E01033018,1585
E01033019,2084
E08000036,345038
E01011740,1588
E01011741,1466
E01011742,1765
E01011745,1707
E01011746,1996
E01011752,1661
E01011753,1464
E01011756,1443
E01011760,2121
E01011762,1589
E01011743,1432
E01011744,1665
E01011747,1651
E01011750,1674
E01011754,1572
E01011757,2092
E01011759,2090
E01011761,2025
E01011763,1406
E01011764,1740
E01011748,1594
E01011749,2735
E01011751,1287
E01011755,1674
E01011873,2063
E01011877,1493
E01011894,1363
E01011895,1455
E01011875,1438
E01011876,1542
E01011878,1551
E01011880,1590
E01011881,1433
E01011887,1782
E01011893,1491
E01011896,1480
E01011897,1443
E01011874,1541
E01011879,1496
E01011882,1434
E01011883,1432
E01011805,1405
E01011807,1461
E01011808,1977
E01011810,1412
E01011803,1586
E01011804,1747
E01011806,1515
E01011809,1427
E01011811,1716
E01011835,1797
E01011836,1534
E01011839,1926
E01011843,1659
E01011844,2008
E01011758,1663
E01011812,2582
E01011820,1529
E01011821,1373
E01011885,1426
E01011886,2031
E01011888,1364
E01011890,1268
E01011891,1511
E01011834,1971
E01011837,1489
E01011838,1995
E01011841,1557
E01011842,1389
E01011813,1724
E01011814,1817
E01011815,1591
E01011816,1461
E01011819,1730
E01011822,1444
E01011884,2619
E01011912,1706
E01011913,1942
E01011916,2333
E01011840,1730
E01011850,1469
E01011852,1784
E01011853,1433
E01011920,2645
E01011923,1658
E01011924,1710
E01011925,1940
E01011909,1450
E01011910,1633
E01011911,1566
E01011914,1651
E01011915,1759
E01011823,1505
E01011824,1617
E01011825,1907
E01011826,1456
E01011827,1190
E01011828,1459
E01011889,1408
E01011892,1741
E01011919,1984
E01011921,1521
E01011926,1679
E01011927,1323
E01011845,1613
E01011846,1273
E01011847,1406
E01011848,1365
E01011851,1415
E01011775,3720
E01011776,1688
E01011777,1397
E01011778,1573
E01011817,1596
E01011818,1281
E01011829,1459
E01011830,1415
E01011831,1681
E01011832,1479
E01011833,1496
E01011899,1532
E01011900,1656
E01011901,1729
E01011904,1532
E01011918,2147
E01011922,1502
E01011779,1502
E01011780,1875
E01011781,2087
E01011782,1507
E01011783,1604
E01011902,1376
E01011903,1193
E01011905,1632
E01011907,1857
E01011793,1652
E01011794,1477
E01011795,1338
E01011796,1611
E01011799,1575
E01011800,1651
E01011898,1500
E01011906,1762
E01011908,2401
E01011917,1854
E01011944,1472
E01011797,1859
E01011798,1302
E01011801,1547
E01011802,1525
E01011765,1760
E01011766,1636
E01011773,1431
E01011774,1471
E01011939,1440
E01011945,1524
E01011947,1563
E01011948,1610
E01011767,1828
E01011768,1360
E01011769,2784
E01011770,1937
E01011849,1500
E01011857,1644
E01011928,1300
E01011931,1468
E01011932,1406
E01011938,1733
E01011929,1839
E01011930,1646
E01011933,1688
E01011937,1395
E01011934,1613
E01011936,1552
E01011940,1545
E01011943,1987
E01011935,2078
E01011941,1439
E01011942,1331
E01011946,1438
E01011785,1887
E01011789,1435
E01011791,1518
E01011792,1508
E01011771,1451
E01011772,1649
E01011784,1898
E01011786,1583
E01011854,1464
E01011855,1477
E01011856,1496
E01011858,1728
E01011787,1632
E01011788,1691
E01011790,1553
E01011865,1763
E01011867,1701
E01011859,1410
E01011869,1424
E01011870,1388
E01011871,1519
E01011860,1503
E01011861,2081
E01011862,2105
E01011863,1595
E01011864,1762
E01011866,1656
E01011868,2208
E01011872,1526
E06000015,257174
E01013461,1696
E01013462,1521
E01013463,1513
E01013464,1323
E01013465,1679
E01013466,1495
E01013467,1419
E01013468,1545
E01013469,1284
E01013574,1226
E01013575,1370
E01013576,1439
E01013577,1456
E01013578,1394
E01013579,1346
E01013580,1396
E01013530,1499
E01013531,1437
E01013532,1533
E01013581,1499
E01013526,1569
E01013527,1517
E01013528,1659
E01013529,2448
E01013505,1420
E01013506,1542
E01013513,1437
E01013534,1658
E01013582,1505
E01013533,1635
E01013535,1648
E01013536,1681
E01013537,1599
E01013538,1448
E01013522,1912
E01013523,1920
E01013524,2489
E01013525,2042
E01013548,1738
E01013549,1358
E01013552,1645
E01013553,1535
E01013555,2323
E01013592,1402
E01013594,1281
E01013596,1482
E01013599,1401
E01013547,1877
E01013550,1231
E01013551,1650
E01013554,1626
E01013507,1467
E01013508,1266
E01013509,1529
E01013510,1518
E01013511,1527
E01013512,1408
E01013453,2413
E01013454,1561
E01013456,2068
E01013457,1871
E01013460,2027
E01013479,3001
E01013593,1333
E01013595,2471
E01013597,1514
E01013598,1512
E01013556,1371
E01013557,1311
E01013558,2609
E01013559,1386
E01013564,1860
E01013480,2407
E01013483,2173
E01013485,2210
E01013565,1931
E01013566,2400
E01013455,1895
E01013458,1724
E01013542,2189
E01013546,1637
E01013481,2013
E01013484,2150
E01013486,2254
E01013487,2681
E01033166,1340
E01033167,1234
E01013540,1576
E01013560,1446
E01013561,1507
E01013562,1277
E01013563,1299
E01013459,2102
E01013567,2407
E01013568,2438
E01013569,1656
E01013539,2583
E01013541,1700
E01013543,1740
E01013544,1810
E01013545,1756
E01013488,1562
E01013489,1486
E01013490,1531
E01013491,1724
E01013570,2344
E01013571,2181
E01013572,1944
E01013573,2229
E01013470,1428
E01013474,1548
E01013476,1458
E01033171,1682
E01033172,1756
E01013471,1876
E01013473,1546
E01013475,1636
E01013477,1703
E01013502,1393
E01013503,1515
E01013472,2282
E01013497,1560
E01013504,1954
E01013583,1775
E01013590,2209
E01013591,2238
E01013492,1507
E01013493,1507
E01013494,1827
E01013495,1790
E01013496,1530
E01013498,1435
E01013499,1480
E01013500,1644
E01013501,1325
E01013584,1910
E01013585,1827
E01013586,1638
E01013587,1594
E01013588,1496
E01013589,1294
E01013517,1373
E01013518,1517
E01013521,1292
E01033168,1395
E01033169,1865
E01033170,1231
E01013514,1563
E01013515,1889
E01013519,1615
E01013520,1764
E06000016,355218
E01013615,1495
E01013616,1667
E01013618,1512
E01013619,1755
E01013733,1895
E01013734,1375
E01013735,1218
E01013736,2028
E01013737,1297
E01013600,2020
E01013601,1672
E01013602,1967
E01013603,1879
E01013604,1908
E01013605,1867
E01013617,2617
E01013620,1840
E01013621,1981
E01013622,1559
E01013623,2126
E01013732,2199
E01013739,1477
E01013740,1469
E01013741,1695
E01013625,2093
E01013628,1674
E01013715,1277
E01013716,2744
E01013738,1478
E01013624,1566
E01013626,1873
E01013627,1338
E01013629,1680
E01013630,1980
E01013606,1818
E01013607,3736
E01013680,2237
E01013685,1408
E01013686,1693
E01013696,2386
E01013697,3571
E01013699,1849
E01032862,2023
E01032863,2476
E01032865,2173
E01013713,1708
E01013714,1648
E01013717,1526
E01013718,1668
E01013719,1605
E01013720,1411
E01013651,1817
E01013652,1958
E01013653,2367
E01013655,2327
E01013721,1632
E01013723,1421
E01013725,1417
E01013726,1904
E01013728,1684
E01013694,1952
E01013700,1552
E01013770,1415
E01013771,1586
E01013773,1411
E01013681,2105
E01013682,1881
E01013683,2268
E01013684,2246
E01013654,2495
E01013656,2058
E01013657,1886
E01013658,2301
E01013659,2098
E01013743,1779
E01013745,1657
E01013742,1705
E01013744,1817
E01013746,1695
E01013748,1951
E01013754,2250
E01013755,2394
E01013660,1948
E01013661,1964
E01013664,1907
E01013665,1937
E01013667,1590
E01013668,1579
E01013729,1270
E01013780,1524
E01013783,1454
E01013785,1511
E01013786,1511
E01013662,1728
E01013663,1803
E01013747,1902
E01013749,1567
E01013750,1411
E01013758,1561
E01013751,2012
E01013752,1492
E01013753,1724
E01013760,2325
E01013761,2053
E01013762,1838
E01013774,1844
E01013776,2616
E01013778,3503
E01013779,2155
E01013781,1653
E01013782,1527
E01013784,1413
E01013666,1608
E01013669,1315
E01013670,2002
E01013671,1901
E01013672,1466
E01013631,1500
E01013632,1828
E01013638,1745
E01013640,2032
E01013756,2041
E01013757,1767
E01013759,1911
E01013763,2278
E01013764,1643
E01013765,1934
E01013766,1842
E01013633,1662
E01013634,1525
E01013637,2081
E01013639,1461
E01013641,1660
E01013635,1480
E01013636,1276
E01013775,3483
E01013777,1920
E01013642,2090
E01013643,1940
E01013649,1503
E01013650,1889
E01013702,1560
E01013710,1502
E01013711,1654
E01013613,1893
E01013614,1565
E01013687,1506
E01013688,1685
E01013703,1284
E01013704,1401
E01013706,1612
E01013707,1573
E01013712,1431
E01013608,1523
E01013609,1528
E01013610,1721
E01013611,1500
E01013612,1718
E01013678,1676
E01013679,1505
E01013691,1649
E01013692,1374
E01013693,1453
E01013673,1553
E01013674,1573
E01013675,1571
E01013676,2001
E01013677,1457
E01013695,2164
E01013698,1698
E01013767,1581
E01013768,1648
E01013772,1651
E01032597,1495
E01013689,2200
E01013690,2032
E01013705,1459
E01013709,1577
E01032599,1524
E01013722,1763
E01013727,1499
E01013730,1634
E01013731,1603
E01032602,1766
E01013646,3416
E01013647,2933
E01013648,4510
E01032875,2578
E01032867,3999
E01032868,2906
E01032872,1630
E01032873,2193
E06000018,331069
E01013887,1512
E01013892,1369
E01013893,1496
E01013894,1433
E01013879,1287
E01013880,1533
E01013881,1522
E01013882,1482
E01013885,1735
E01013886,1453
E01013888,1499
E01013889,1573
E01013890,1496
E01013891,1732
E01013875,1266
E01013876,1788
E01013877,1538
E01013878,1380
E01013883,1529
E01013884,1315
E01013853,1481
E01013854,1415
E01013855,1724
E01013856,1667
E01033397,1917
E01033398,1354
E01013963,1686
E01013964,1873
E01013965,1495
E01013966,1404
E01013967,1840
E01013827,1482
E01013828,1793
E01013834,1651
E01013835,1635
E01013836,2036
E01013829,1697
E01013830,1680
E01013831,1562
E01013832,1988
E01013833,1324
E01013935,1513
E01013968,1403
E01013969,1717
E01013970,1543
E01013971,1565
E01013817,1868
E01013818,1817
E01013822,1903
E01013825,1963
E01013826,2170
E01013837,2127
E01013838,1694
E01013839,2024
E01013840,2299
E01013841,1671
E01013819,1850
E01013820,1914
E01013821,1676
E01013823,1913
E01013824,1672
E01013864,2060
E01013865,1637
E01013866,1483
E01013867,1587
E01013937,1782
E01013938,1483
E01013941,1893
E01013943,1968
E01013972,1495
E01013936,2158
E01013939,1428
E01013940,1935
E01013942,2382
E01013843,1840
E01013844,1621
E01013845,1943
E01013847,1399
E01013810,1880
E01013811,1607
E01013812,1802
E01013842,1914
E01013846,1889
E01013930,2095
E01013931,1811
E01013932,2118
E01013933,1956
E01013934,1650
E01013859,1451
E01013861,1546
E01013868,1639
E01013929,2073
E01013954,1901
E01013959,2015
E01013960,1700
E01013962,1872
E01013813,3545
E01013814,2394
E01013815,2018
E01013816,4288
E01013958,1847
E01013961,2577
E01033399,2698
E01033401,1279
E01033405,1853
E01033409,2048
E01033411,1177
E01013913,1691
E01013914,1718
E01013915,1529
E01013916,1559
E01013917,1793
E01013858,1498
E01013860,1505
E01013862,1621
E01013863,1462
E01013944,2019
E01013945,2303
E01013947,2275
E01013948,1367
E01013953,2935
E01033395,3459
E01033396,1309
E01013977,2026
E01013978,1810
E01013979,1651
E01013981,1602
E01032520,2013
E01032522,2667
E01033404,3800
E01013918,2005
E01013919,2089
E01013920,2427
E01013921,2414
E01013957,1751
E01013980,1601
E01013982,1647
E01013983,1515
E01013984,1492
E01013985,1910
E01013924,1467
E01013926,1683
E01013928,1888
E01033408,3173
E01033410,2911
E01013973,4342
E01013974,2320
E01013975,2729
E01013976,1686
E01013895,1472
E01013896,1301
E01013901,1549
E01013902,1898
E01013897,1523
E01013898,2268
E01013899,1275
E01013900,1571
E01013903,1268
E01013907,1531
E01013905,1548
E01013908,1684
E01013909,1480
E01013912,1581
E01013904,1652
E01013906,1551
E01013910,1418
E01013911,1422
E01013849,1568
E01013850,1438
E01013851,1674
E01013852,1545
E01032621,1438
E01013874,1567
E01033400,3069
E01033402,1858
E01033403,1147
E01033406,2042
E01033407,1607
E01013870,2079
E01013871,1649
E01013872,1922
E01013873,2131
E06000017,39697
E01013788,2547
E01013789,1392
E01013790,2127
E01013796,1800
E01013793,1458
E01013800,1557
E01013801,3573
E01013809,1234
E01013798,1472
E01013799,1670
E01013802,2513
E01013803,2193
E01013791,1173
E01013792,1720
E01013797,1791
E01013804,1582
E01013805,1357
E01013787,1309
E01013794,1364
E01013795,1054
E01013806,2004
E01013807,1351
E01013808,1456
E07000032,126678
E01019400,1631
E01019401,1727
E01019402,1608
E01019404,1776
E01019406,1056
E01019423,1328
E01019424,1203
E01019477,2246
E01019403,1553
E01019444,1453
E01019468,1514
E01019469,1757
E01019471,1548
E01019443,1668
E01019470,1550
E01019473,1250
E01019474,1273
E01019475,1224
E01019476,1428
E01019420,1333
E01019442,1480
E01019445,1522
E01019455,1351
E01019456,1893
E01019457,1295
E01019429,1598
E01019454,1501
E01019460,1578
E01019461,1386
E01019462,1239
E01019405,1578
E01019414,1594
E01019428,1507
E01019430,1969
E01019421,2094
E01019422,1594
E01019432,1916
E01019458,1776
E01019459,1446
E01019463,1523
E01019408,1762
E01019409,1830
E01019412,1791
E01019413,1441
E01019416,1390
E01019407,2009
E01019415,1856
E01019417,2071
E01019419,1922
E01019410,1503
E01019411,1407
E01019418,1877
E01019447,1496
E01019449,1780
E01019431,1424
E01019433,2033
E01019438,1680
E01019451,2062
E01019464,2255
E01019434,1231
E01019435,1729
E01019436,1375
E01019439,1397
E01019440,1662
E01019446,1146
E01019448,2005
E01019450,1498
E01019465,1181
E01019467,1494
E01019425,1684
E01019426,1643
E01019427,1915
E01019472,3198
E01019437,1562
E01019441,1589
E01019452,1666
E01019453,1993
E01032613,1155
E07000033,79530
E01019478,1537
E01019479,1695
E01019491,2300
E01019493,1544
E01019494,2648
E01019492,1811
E01019495,1614
E01019524,1347
E01019525,1465
E01019496,1607
E01019497,1460
E01019498,1846
E01019523,1104
E01019483,2154
E01019484,1967
E01019485,1381
E01019488,1364
E01019486,1008
E01019487,1461
E01019489,1202
E01019490,1259
E01019502,1547
E01019504,1299
E01019508,2061
E01019509,1431
E01019510,1307
E01019512,2888
E01019503,2517
E01019505,1577
E01019506,1461
E01019507,1934
E01019511,2388
E01019480,1546
E01019482,1528
E01019520,2088
E01019521,1595
E01019522,1667
E01019481,1297
E01019514,1575
E01019515,1541
E01019516,1524
E01019519,1918
E01019499,1297
E01019500,1420
E01019501,1349
E01019513,1766
E01019517,1816
E01019518,1419
E07000034,104628
E01019526,1363
E01019528,1510
E01019572,1375
E01019573,1569
E01019574,1344
E01019563,1682
E01019564,1528
E01019565,1362
E01019566,1811
E01019568,1508
E01019527,1480
E01019529,1472
E01019530,1454
E01019531,1579
E01019553,1877
E01019541,1520
E01019542,1604
E01019543,1529
E01019544,1594
E01019571,1432
E01019532,1178
E01019533,1326
E01019534,1490
E01019535,1397
E01019536,1774
E01019549,1400
E01019550,1600
E01019551,1488
E01019552,1327
E01019567,1797
E01019537,1654
E01019569,1582
E01019570,1258
E01019580,1672
E01019581,1427
E01019557,1478
E01019558,1345
E01019559,1104
E01019560,1339
E01019561,1329
E01019562,1179
E01019539,1576
E01019540,1427
E01019555,1477
E01019590,1840
E01019591,1589
E01019538,1977
E01019554,1284
E01019556,1585
E01019579,1684
E01033387,1452
E01033388,1650
E01019586,1319
E01019587,1347
E01019588,1327
E01019589,1301
E01019592,1705
E01019593,1162
E01019545,1340
E01019546,1453
E01019547,1487
E01019548,2328
E01019582,1449
E01019583,1396
E01019585,2211
E01019575,1753
E01019576,1696
E01019577,1476
E01019578,1600
E07000035,71977
E01019602,1834
E01019614,1625
E01019615,2191
E01019631,1758
E01019600,1552
E01019604,1749
E01019606,1630
E01019618,1502
E01019599,1398
E01019601,1533
E01019613,1723
E01019617,1591
E01019608,1694
E01019610,1502
E01019630,1852
E01019609,2626
E01019621,1342
E01019622,1491
E01019624,1218
E01019627,1132
E01019628,1238
E01019619,1423
E01019620,1552
E01019623,1454
E01019625,1682
E01019626,1405
E01019632,1706
E01019633,1578
E01019634,1641
E01019635,1235
E01019636,1626
E01019595,2051
E01019605,1818
E01019611,1624
E01019616,1802
E01019594,1920
E01019596,1685
E01019597,1839
E01019598,1789
E01019603,1699
E01019607,1795
E01019612,2751
E01019629,1721
E07000036,115490
E01019644,1407
E01019646,1584
E01019663,1462
E01019664,1341
E01019665,1409
E01019657,1891
E01019660,1838
E01019661,1398
E01019662,1591
E01019672,1878
E01019690,1238
E01019670,1808
E01019671,1931
E01019701,2185
E01019673,1350
E01019702,1833
E01019703,1638
E01019704,1445
E01019658,2056
E01019659,1731
E01019674,1190
E01019688,1458
E01019689,1639
E01019666,1551
E01019667,1690
E01019668,1437
E01019669,1475
E01019656,1218
E01019691,1659
E01019692,1532
E01019693,1953
E01019694,1184
E01019696,1472
E01019683,1307
E01019684,1675
E01019685,1438
E01019686,1375
E01019687,1501
E01019648,1531
E01019649,1793
E01019650,1685
E01019651,1447
E01019695,1408
